CHIP,INDEX,ECHELLE,WAVE
GREEN,19,118,5220.563
GREEN,19,118,5219.9799
GREEN,19,118,5218.04911
GREEN,19,118,5215.6122
GREEN,19,118,5214.9378
GREEN,19,118,5214.80078
GREEN,19,118,5213.7999
GREEN,19,118,5212.68132
GREEN,19,118,5211.17501
GREEN,19,118,5209.2521
GREEN,19,118,5209.116
GREEN,19,118,5208.2491
GREEN,19,118,5208.1126
GREEN,19,118,5207.94551
GREEN,19,118,5207.2278
GREEN,19,118,5206.60151
GREEN,19,118,5205.2971
GREEN,19,118,5203.457
GREEN,19,118,5200.77463
GREEN,19,118,5200.61158
GREEN,19,118,5200.24745
GREEN,19,118,5198.6833
GREEN,19,118,5197.26052
GREEN,19,118,5195.90409
GREEN,19,118,5195.27214
GREEN,19,118,5192.3176
GREEN,19,118,5189.8091
GREEN,19,118,5188.9121
